LocationID,FacilityName,Address,City,State,ZIPCode,PhoneNumber
1001326,AU MEDICAL CENTER,NULL,NULL,NULL,NULL,2563542131
1001411,PUTNAM GENERAL HOSPITAL,NULL,NULL,NULL,NULL,2562355121
999999,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,3347938701
1000000,SOUTHEAST ALABAMA MEDICAL CENTER,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,3347938701
1000001,SOUTHEAST ALABAMA MEDICAL CENTER,205 MARENGO STREET,FLORENCE,AL,35631,3347938701
1000002,SOUTHEAST ALABAMA MEDICAL CENTER,702 N MAIN ST,OPP,AL,36467,3347938701
1000003,SOUTHEAST ALABAMA MEDICAL CENTER,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,3347938701
1000004,SOUTHEAST ALABAMA MEDICAL CENTER,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,3347938701
1000005,SOUTHEAST ALABAMA MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,3347938701
1000059,MARSHALL MEDICAL CENTER SOUTH,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,2565938310
1000060,MARSHALL MEDICAL CENTER SOUTH,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,2565938310
1000061,MARSHALL MEDICAL CENTER SOUTH,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,2565938310
1000062,MARSHALL MEDICAL CENTER SOUTH,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,2565938310
1000063,MARSHALL MEDICAL CENTER SOUTH,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,2565938310
1000064,MARSHALL MEDICAL CENTER SOUTH,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,2565938310
1001515,OSF SAINT ANTHONY'S HEALTH CENTER,NULL,NULL,NULL,NULL,2519493400
1001516,ST JOHNS HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001517,MACNEAL  HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001518,PASSAVANT AREA HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001519,JERSEY COMMUNITY HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001520,PALOS COMMUNITY HOSPITAL,NULL,NULL,NULL,NULL,2519493400
1001521,RUSH OAK PARK HOSPITAL,NULL,NULL,NULL,NULL,2519493400
